Movie_Rank,Movie_Name,Worldwide_Gross,Domestic_Gross,Domestic_Percent,Foreign_Gross,Foreign_Percent
56,Once Upon a Time in Mexico,"$98,096,026",56359780.0,57.5,41736246.0,42.5
57,Phone Booth,"$97,837,138",46566212.0,47.6,51270926.0,52.4
58,Underworld,"$95,708,457",51970690.0,54.3,43737767.0,45.7
59,Calendar Girls,"$93,400,759",31041759.0,33.2,62359000.0,66.8
60,Final Destination 2,"$90,941,129",46961214.0,51.6,43979915.0,48.4
61,Identity,"$90,259,536",52159536.0,57.8,38100000.0,42.2
62,Kangaroo Jack,"$88,929,111",66934963.0,75.3,21994148.0,24.7
63,Shanghai Knights,"$88,323,487",60476872.0,68.5,27846615.0,31.5
64,Old School,"$87,135,520",75585093.0,86.7,11550427.0,13.3
65,Tears of the Sun,"$86,468,162",43734876.0,50.6,42733286.0,49.4
66,Sinbad: Legend of the Seven Seas,"$80,773,077",26483452.0,32.8,54289625.0,67.2
67,The Rundown,"$80,657,921",47726342.0,59.2,32931579.0,40.8
68,Runaway Jury,"$80,154,140",49443628.0,61.7,30710512.0,38.3
69,Good Bye Lenin!,"$79,316,957",4064200.0,5.1,75252757.0,94.9
70,Bad Santa,"$76,488,889",60060328.0,78.5,16428561.0,21.5
